Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,20852,720,,20132,17.0,177.68078180000003,100735.0,3680.0,3.4529061960000003,84000017,USA,858.3672336000001,17.64818722
04-13,22025,798,,21227.0,17.0,187.6759648568341,105768.0,3680.0,3.623155505107832,84000017,USA,901.2536413610727,16.708286038592508
04-14,23248,868,,22380.0,17.0,198.0972,110616.0,4283.0,3.7336545080000003,84000017,USA,942.5636562000001,18.42309016
04-15,24593,949,,23644.0,17.0,209.5580024392337,116929.0,4283.0,3.858821615906965,84000017,USA,996.3569986263228,17.415524742812995
04-16,25734,1072,,24662.0,17.0,219.28051212829826,122589.0,4423.0,4.165695189243801,84000017,USA,1044.5861001513933,17.187378565322142
04-17,27578,1132,,26446.0,17.0,234.99331481597144,130163.0,4454.0,4.104721154543476,84000017,USA,1109.1244773511964,16.15055479005004
04-18,29160,1259,,27901.0,17.0,248.47360432350888,137404.0,4340.0,4.3175582990397805,84000017,USA,1170.825347341132,14.883401920438958
04-19,30357,1290,,29067.0,17.0,258.6732924022208,143318.0,4314.0,4.249431762031821,84000017,USA,1221.2187937049605,14.210890404190135
04-20,31513,1349,,30164.0,17.0,268.52361773136954,148358.0,4599.0,4.280773014311554,84000017,USA,1264.1648487732214,14.593977088820488
04-21,33059,1468,,31591.0,17.0,281.69714970270513,154997.0,4776.0,4.4405456910372365,84000017,USA,1320.736051074448,14.446897970295534
04-22,35107,1565,,33542.0,17.0,299.1482450955222,164346.0,4665.0,4.457800438658957,84000017,USA,1400.3992790175373,13.287948272424304
04-23,36937,1688,,35249.0,17.0,314.7417531857835,173316.0,4877.0,4.569943417169776,84000017,USA,1476.8330317878351,13.203562823185425
04-24,39658,1795,,37863.0,17.0,337.927510297041,189632.0,4828.0,4.526199001462504,84000017,USA,1615.8623640286567,12.174088456301375
04-25,41777,1875,,39902.0,17.0,355.98359971958945,201617.0,4699.0,4.488115470234819,84000017,USA,1717.9870604558605,11.247815783804484
04-26,43903,1933,,41970.0,17.0,374.09933644084396,214952.0,4595.0,4.402888185317632,84000017,USA,1831.6151644906336,10.466255153406374
04-27,45883,1983,,43900.0,17.0,390.97100093194643,227628.0,4672.0,4.32186212758538,84000017,USA,1939.6279014043787,10.18242050432622
04-28,48102,2125,,45977.0,17.0,409.87919462172243,242189.0,,4.4176957299072805,84000017,USA,2063.70280375536,
04-29,50358,2215,,48143.0,17.0,429.10266689037246,256667.0,,4.398506692084673,84000017,USA,2187.0704595645425,
04-30,52918,2355,0,50563.0,17,450.9165361313938,269867.0,,4.45028156770853,84000017,USA,2299.5482228385586,
05-01,56055,2457,0,53598.0,17,477.64704699431724,284688.0,,4.383195076264383,84000017,USA,2425.8385962843313,
05-02,58505,2559,0,55946.0,17,498.5236015413885,299896.0,,4.373985129476114,84000017,USA,2555.426613244273,
05-03,61499,2618,0,58881.0,17,524.0356033021767,319313.0,,4.25697978828924,84000017,USA,2720.879698811817,
05-04,63777,2659,0,61118.0,17,543.4465385096169,333147.0,,4.169214607146777,84000017,USA,2838.7598031400557,
05-05,65889,2834,,63055.0,17,561.4429806334595,346286.0,,4.301173185205421,84000017,USA,2950.7177828110634,
05-06,68232,2974,,65258.0,17,581.4077836145973,361260.0,,4.35865869386798,84000017,USA,3078.311875785693,
05-07,70871,3111,,67760.0,17,603.8948152267284,379043.0,,4.389665730693796,84000017,USA,3229.8415776267407,
05-08,73760,3241,,70519.0,17,628.5121075069277,399714.0,,4.393980477223427,84000017,USA,3405.980050705317,
05-09,76085,3349,,72736.0,17,648.3235317199648,416331.0,,4.401656042583952,84000017,USA,3547.574216790493,
05-10,77741,3406,,74335.0,17,662.4343783852505,429984.0,,4.381214545735197,84000017,USA,3663.9120123950493,
05-11,79007,3459,,75548.0,17,673.2220184083492,442425.0,,4.378093080359968,84000017,USA,3769.92230428081,
05-12,83021,3601,,79420.0,17,707.425483694857,471691.0,,4.33745678804158,84000017,USA,4019.29913912758,
05-13,84694,3792,,80902.0,17,721.6811880855714,489359.0,,4.4772947316220755,84000017,USA,4169.848921061316,
05-14,87937,3928,,84009.0,17,693.9570879355067,512037.0,,4.466834210855499,84000017,USA,4040.7531009158038,
05-15,90369,4059,,86310.0,17,713.14927822923,538602.0,,4.4915845035355035,84000017,USA,4250.391478856906,
05-16,92457,4129,,88328.0,17,729.6267837116702,561649.0,,4.465859805098586,84000017,USA,4432.267469687269,
05-17,94191,4177,,90014.0,17,743.3106891266851,581944.0,,4.434606278731514,84000017,USA,4592.4259820273655,
05-18,96485,4234,,92251.0,17,761.4138488856496,603241.0,,4.388246877753018,84000017,USA,4760.491803032887,
05-19,98030,4379,,93651.0,17,773.6062559595814,621684.0,,4.466999897990411,84000017,USA,4906.035209935494,
05-20,100418,4525,,95893.0,17,792.4512191262802,642713.0,,4.506164233503953,84000017,USA,5071.98610207641,
05-21,102688,4607,,98081.0,17,810.364982270504,672020.0,,4.486405422249923,84000017,USA,5303.263043251637,
05-22,105444,4715,,100729.0,17,832.1140268632266,697133.0,,4.471567846439816,84000017,USA,5501.4429260009265,
05-23,107796,4790,,103006.0,17,850.6748951078145,722247.0,,4.44357861145126,84000017,USA,5699.630700275832,
05-24,110304,4856,,105448.0,17,870.4668413482167,747921.0,,4.402378880185669,84000017,USA,5902.237728894687,
05-25,112017,4885,,107132.0,17,883.9850247253336,769564.0,,4.360945213672925,84000017,USA,6073.0340177627195,
05-26,113195,4923,,108272.0,17,893.2812418988558,786794.0,,4.3491320287998585,84000017,USA,6209.0050040953065,
05-27,114306,5083,,109223.0,17,902.048726856227,803973.0,,4.446835686665617,84000017,USA,6344.573522621571,
05-28,115833,5186,,110647.0,17,914.0990864691032,829966.0,,4.477135186000536,84000017,USA,6549.697947911353,
05-29,117455,5270,,112185.0,17,926.8991410153284,851762.0,,4.486824741390318,84000017,USA,6721.701640198358,
05-30,118917,5330,,113587.0,17,938.4365514632823,877105.0,,4.482117779627806,84000017,USA,6921.6965738389135,
05-31,120260,5390,,114870.0,17,949.0348703631469,898259.0,,4.481955762514552,84000017,USA,7088.633906681605,
06-01,121234,5412,,115822.0,17,956.721216311373,918273.0,,4.464094230991307,84000017,USA,7246.574900324113,
06-02,122848,5525,,117323.0,17,969.4581386526843,934704.0,,4.497427715550924,84000017,USA,7376.24055769096,
06-03,123830,5621,,118209.0,17,977.2076168058244,959175.0,,4.539287733182589,84000017,USA,7569.354080995936,
06-04,124759,5736,,119023.0,17,984.538844101412,982016.0,,4.5976642967641626,84000017,USA,7749.6044175497755,
06-05,125915,5795,,120120.0,17,993.6614477114219,1000919.0,,4.602311082873367,84000017,USA,7898.777926234911,
06-06,126890,5864,,121026.0,17,1001.3556851852626,1022074.0,,4.6213255575695475,84000017,USA,8065.723150603217,
06-07,127757,5904,,121853.0,17,1008.1976378927699,1042774.0,,4.621273198337469,84000017,USA,8229.077730817062,
06-08,128415,5924,,122491.0,17,1013.3902617469107,1059597.0,,4.613168243585251,84000017,USA,8361.836866224672,
06-09,129212,6018,,123194.0,17,1019.6798076614244,1079906.0,,4.6574621552177815,84000017,USA,8522.105859923371,
06-10,129837,6095,,123742.0,17,1024.6120111702967,1100726.0,,4.694347528054407,84000017,USA,8686.407423210918,
06-11,130603,6185,,124418,17,1030.6569197907704,1123051.0,,4.735725825593592,84000017,USA,8862.585732547832,
06-12,131198,6260,,124938.0,17,1035.3523775312167,1147962.0,,4.771414198387171,84000017,USA,9059.171527123055,
06-13,131871,6289,,125582.0,17,1040.6633742695703,1169806.0,,4.7690546063956445,84000017,USA,9231.55401263954,
06-14,132543,6308,,126235.0,17,1045.9664794823095,1191846.0,,4.759210218570577,84000017,USA,9405.48323717641,
06-15,133016,6326,,126690.0,17,1049.6991710978239,1210473.0,,4.755818848860288,84000017,USA,9552.478684792028,
06-16,133639,6398,,127241.0,17,1054.6155915554677,1229202.0,,4.787524599854833,84000017,USA,9700.279068020294,
06-17,134185,6485,,127700.0,17,1058.9243645408183,1259189.0,,4.832879979133286,84000017,USA,9936.922246613174,
06-18,134778,6537,,128241.0,17,1063.6040392300363,1284693.0,,4.850198103548056,84000017,USA,10138.187715877615,
06-19,135470,6580,,128890.0,17,1069.0649749550598,1312003.0,,4.857163947737506,84000017,USA,10353.705280401291,
06-20,136104,6625,,129479.0,17,1074.0682021944597,1337968.0,,4.867601246105919,84000017,USA,10558.608742973878,
06-21,136762,6647,,130115.0,17,1079.2608260486004,1361784.0,,4.860268203155846,84000017,USA,10746.55331700156,
06-22,137224,6671,,130553.0,17,1082.9067108823583,1380003.0,,4.861394508249286,84000017,USA,10890.329022166585,
06-23,137825,6707,,131118.0,17,1087.64951777649,1400510.0,,4.86631598040994,84000017,USA,11052.160537936892,
06-24,138540,6770,,131770.0,17,1093.2919585906398,1429841.0,,4.886675328425004,84000017,USA,11283.62687572686,
06-25,139434,6810,,132624.0,17,1100.3469824897306,1461527.0,,4.884031154524721,84000017,USA,11533.677756338257,
06-26,140291,6847,,133444.0,17,1107.110019941096,1492005.0,,4.880569673036759,84000017,USA,11774.195674007706,
06-27,141077,6873,,134204.0,17,1113.3127590738536,1522242.0,,4.871807594434245,84000017,USA,12012.811734004134,
06-28,141723,6888,,134835.0,17,1118.410684620624,1546031.0,,4.860185008784742,84000017,USA,12200.543236840229,
06-29,142461,6902,,135559.0,17,1124.2346305239003,1572949.0,,4.8448347266971306,84000017.0,USA,12412.967323323144,
06-30,143185,6923,,136262.0,17,1129.9480950685777,1604018.0,,4.8350036665851865,84000017,USA,12658.14913263058,
07-01,144013,6951,,137062.0,17,1136.4822782771314,1637108.0,,4.8266475943144025,84000017,USA,12919.279715204311,
07-02,144013,6951,,137062.0,17,1136.4822782771314,1637108.0,,4.8266475943144025,84000017,USA,12919.279715204311,
07-03,145750,7005,,138745.0,17,1150.1898582689892,1701757.0,,4.806174957118353,84000017,USA,13429.458954636433,
07-04,146612,7014,,139598.0,17,1156.9923533484255,1735593.0,,4.784055875371728,84000017,USA,13696.47661531835,
07-05,147251,7020,,140231.0,17,1162.0350382158965,1762828.0,,4.767370000882846,84000017,USA,13911.402315420964,
07-06,147865,7026,,140839.0,17,1166.8804349430125,1783962.0,,4.751631555811044,84000017,USA,14078.181817751369,
07-07,149574,7273,,142301.0,17,1180.3670522176724,1810956.0,,4.862476098787222,84000017,USA,14291.205660180964,
07-08,150554,7309,,143245.0,17,1188.1007473195841,1843698.0,,4.85473650650265,84000017,USA,14549.589991840952,
07-09,151572,7329,,144243.0,17,1196.1343203948352,1879878.0,,4.835325785765182,84000017,USA,14835.105388562544,
07-10,152899,7345,,145554.0,17,1206.6063748848724,1912875.0,,4.803824747055247,84000017,USA,15095.502059254153,
07-11,154094,7369,,146725.0,17,1216.0367479938361,1945220.0,,4.782145962853843,84000017,USA,15350.753455245305,
07-12,155048,7388,,147660.0,17,1223.5652634297785,1984114.0,,4.764976007429957,84000017,USA,15657.68645248382,
07-13,155931,7394,,148537.0,17,1230.5334805471132,2014126.0,,4.741840942468143,84000017,USA,15894.526919217056,
07-14,156638,7419,,149219.0,17,1236.1127891563494,2042572.0,,4.736398575058415,84000017,USA,16119.009256838459,
07-15,157825,7427,,150398.0,17,1245.4800300603993,2080733.0,,4.7058450815776975,84000017,USA,16420.157765801774,
07-16,159082,7452,,151630.0,17,1255.399677757443,2123739.0,,4.684376610804491,84000017,USA,16759.540716365864,
07-17,160509,7465,,153044.0,17,1266.6608848089,2167474.0,,4.650829548498838,84000017,USA,17104.676589102706,
07-18,161785,7483,,154302.0,17,1276.7304714926133,2213573.0,,4.625274283771672,84000017,USA,17468.4680283915,
07-19,162750,7488,,155262.0,17,1284.3457937103121,2245686.0,,4.600921658986176,84000017,USA,17721.888590440158,
07-20,163922,7494,,156428.0,17,1293.594661730149,2280284.0,,4.571686533839265,84000017,USA,17994.919593640094,
07-21,164864,7517,,157347.0,17,1301.0284788587212,2310029.0,,4.5595157220496905,84000017,USA,18229.653023034334,
07-22,166475,7540,,158935.0,17,1313.74172662319,2349662.0,,4.529208589878361,84000017,USA,18542.417857701745,
07-23,168096,7560,,160536.0,17,1326.5338896438009,2389368.0,,4.497430039977156,84000017,USA,18855.75877373899,
07-24,169696,7577,,162119.0,17,1339.1603306265138,2433765.0,,4.465043371676409,84000017,USA,19206.118836432423,
07-25,171122,7589,,163533.0,17,1350.4136461523565,2471965.0,,4.434847652551981,84000017,USA,19507.57511489469,
07-26,172663,7590,,165073.0,17,1362.5744871238314,2512809.0,,4.395846243839155,84000017,USA,19829.89658708089,
07-27,173894,7608,,166286.0,17,1372.2889551549065,2543376.0,,4.375079071158292,84000017,USA,20071.11685053001,
07-28,174968,7638,,167330.0,17,1380.7644536645525,2571707.0,,4.365369667596361,84000017,USA,20294.69166270578,
07-29,176363,7654,,168709.0,17,1391.773131896355,2609894.0,,4.339912566694828,84000017,USA,20596.045351335062,
07-30,178135,7670,,170465.0,17,1405.756915284709,2651028.0,,4.305723187470177,84000017,USA,20920.655365949377,
07-31,180115,7692,,172423.0,17,1421.3821360008164,2700849.0,,4.270604891319436,84000017,USA,21313.81906357421,
08-01,181754,7700,,174054.0,17,1434.3163464824827,2740658.0,,4.2364954829054655,84000017,USA,21627.97280674972,
08-02,183224,7714,,175510.0,17,1445.91688913535,2779603.0,,4.210147142295768,84000017,USA,21935.30827179456,
08-03,184522,7723,,176799.0,17,1456.1600893825753,2808078.0,,4.185408785944223,84000017,USA,22160.019463658773,
08-04,185993,7742,,178251.0,17,1467.7685235610572,2850676.0,,4.162522245460851,84000017,USA,22496.18267177227,
08-05,187752,7770,,179982.0,17,1481.6497171164274,2897344.0,,4.1384379394094335,84000017,USA,22864.464389135548,
